date,year,month,national_ev_sales,national_ev_revenue_crores,national_ev_market_share_pct,nexon_ev_sales,tigor_ev_sales,tiago_ev_sales,punch_ev_sales,nexon_ev_revenue_crores,tigor_ev_revenue_crores,tiago_ev_revenue_crores,punch_ev_revenue_crores,state,state_ev_sales,state_ev_revenue_crores,charging_stations_added_state,cumulative_charging_stations_state
2015-04-30,2015,4,2140,312.48,2.09,159,44,1410,526,24.71,7.72,200.88,79.17,Maharashtra,267,38.99,16,64
2015-04-30,2015,4,2140,312.48,2.09,159,44,1410,526,24.71,7.72,200.88,79.17,Delhi,49,7.15,24,85
2015-04-30,2015,4,2140,312.48,2.09,159,44,1410,526,24.71,7.72,200.88,79.17,Karnataka,15,2.19,15,61
2015-04-30,2015,4,2140,312.48,2.09,159,44,1410,526,24.71,7.72,200.88,79.17,Tamil Nadu,65,9.49,11,60
2015-04-30,2015,4,2140,312.48,2.09,159,44,1410,526,24.71,7.72,200.88,79.17,Gujarat,33,4.82,5,29
2015-04-30,2015,4,2140,312.48,2.09,159,44,1410,526,24.71,7.72,200.88,79.17,Rajasthan,504,73.59,5,43
2015-04-30,2015,4,2140,312.48,2.09,159,44,1410,526,24.71,7.72,200.88,79.17,West Bengal,313,45.7,24,82
2015-04-30,2015,4,2140,312.48,2.09,159,44,1410,526,24.71,7.72,200.88,79.17,Punjab,190,27.74,17,61
2015-04-30,2015,4,2140,312.48,2.09,159,44,1410,526,24.71,7.72,200.88,79.17,Kerala,390,56.95,13,58
2015-04-30,2015,4,2140,312.48,2.09,159,44,1410,526,24.71,7.72,200.88,79.17,Uttar Pradesh,309,45.12,7,54
2015-05-31,2015,5,2189,335.5,1.36,73,237,1652,225,11.38,39.14,244.8,40.18,Maharashtra,124,19.01,10,74
2015-05-31,2015,5,2189,335.5,1.36,73,237,1652,225,11.38,39.14,244.8,40.18,Delhi,13,1.99,8,93
2015-05-31,2015,5,2189,335.5,1.36,73,237,1652,225,11.38,39.14,244.8,40.18,Karnataka,349,53.49,15,76
2015-05-31,2015,5,2189,335.5,1.36,73,237,1652,225,11.38,39.14,244.8,40.18,Tamil Nadu,259,39.7,21,81
2015-05-31,2015,5,2189,335.5,1.36,73,237,1652,225,11.38,39.14,244.8,40.18,Gujarat,19,2.91,10,39
2015-05-31,2015,5,2189,335.5,1.36,73,237,1652,225,11.38,39.14,244.8,40.18,Rajasthan,121,18.55,9,52
2015-05-31,2015,5,2189,335.5,1.36,73,237,1652,225,11.38,39.14,244.8,40.18,West Bengal,888,136.1,24,106
2015-05-31,2015,5,2189,335.5,1.36,73,237,1652,225,11.38,39.14,244.8,40.18,Punjab,101,15.48,6,67
2015-05-31,2015,5,2189,335.5,1.36,73,237,1652,225,11.38,39.14,244.8,40.18,Kerala,58,8.89,10,68
2015-05-31,2015,5,2189,335.5,1.36,73,237,1652,225,11.38,39.14,244.8,40.18,Uttar Pradesh,250,38.32,15,69
2015-06-30,2015,6,2298,373.72,2.39,93,405,680,1117,13.61,57.11,112.58,190.42,Maharashtra,99,16.1,14,88
2015-06-30,2015,6,2298,373.72,2.39,93,405,680,1117,13.61,57.11,112.58,190.42,Delhi,23,3.74,7,100
2015-06-30,2015,6,2298,373.72,2.39,93,405,680,1117,13.61,57.11,112.58,190.42,Karnataka,656,106.68,11,87
2015-06-30,2015,6,2298,373.72,2.39,93,405,680,1117,13.61,57.11,112.58,190.42,Tamil Nadu,117,19.03,20,101
2015-06-30,2015,6,2298,373.72,2.39,93,405,680,1117,13.61,57.11,112.58,190.42,Gujarat,169,27.48,20,59
2015-06-30,2015,6,2298,373.72,2.39,93,405,680,1117,13.61,57.11,112.58,190.42,Rajasthan,423,68.79,24,76
2015-06-30,2015,6,2298,373.72,2.39,93,405,680,1117,13.61,57.11,112.58,190.42,West Bengal,262,42.61,21,127
2015-06-30,2015,6,2298,373.72,2.39,93,405,680,1117,13.61,57.11,112.58,190.42,Punjab,309,50.25,6,73
2015-06-30,2015,6,2298,373.72,2.39,93,405,680,1117,13.61,57.11,112.58,190.42,Kerala,54,8.78,5,73
2015-06-30,2015,6,2298,373.72,2.39,93,405,680,1117,13.61,57.11,112.58,190.42,Uttar Pradesh,181,29.44,20,89
2015-07-31,2015,7,2366,409.3,2.81,144,533,829,858,21.63,92.95,143.04,151.68,Maharashtra,135,23.35,8,96
2015-07-31,2015,7,2366,409.3,2.81,144,533,829,858,21.63,92.95,143.04,151.68,Delhi,72,12.46,5,105
2015-07-31,2015,7,2366,409.3,2.81,144,533,829,858,21.63,92.95,143.04,151.68,Karnataka,440,76.12,18,105
2015-07-31,2015,7,2366,409.3,2.81,144,533,829,858,21.63,92.95,143.04,151.68,Tamil Nadu,568,98.26,20,121
2015-07-31,2015,7,2366,409.3,2.81,144,533,829,858,21.63,92.95,143.04,151.68,Gujarat,52,9.0,24,83
2015-07-31,2015,7,2366,409.3,2.81,144,533,829,858,21.63,92.95,143.04,151.68,Rajasthan,56,9.69,12,88
2015-07-31,2015,7,2366,409.3,2.81,144,533,829,858,21.63,92.95,143.04,151.68,West Bengal,103,17.82,11,138
2015-07-31,2015,7,2366,409.3,2.81,144,533,829,858,21.63,92.95,143.04,151.68,Punjab,93,16.09,7,80
2015-07-31,2015,7,2366,409.3,2.81,144,533,829,858,21.63,92.95,143.04,151.68,Kerala,812,140.47,21,94
2015-07-31,2015,7,2366,409.3,2.81,144,533,829,858,21.63,92.95,143.04,151.68,Uttar Pradesh,30,5.19,5,94
2015-08-31,2015,8,2356,354.48,3.12,393,112,347,1502,60.65,19.63,52.65,221.55,Maharashtra,183,27.53,18,114
2015-08-31,2015,8,2356,354.48,3.12,393,112,347,1502,60.65,19.63,52.65,221.55,Delhi,195,29.34,10,115
2015-08-31,2015,8,2356,354.48,3.12,393,112,347,1502,60.65,19.63,52.65,221.55,Karnataka,353,53.11,7,112
2015-08-31,2015,8,2356,354.48,3.12,393,112,347,1502,60.65,19.63,52.65,221.55,Tamil Nadu,46,6.92,13,134
2015-08-31,2015,8,2356,354.48,3.12,393,112,347,1502,60.65,19.63,52.65,221.55,Gujarat,122,18.36,9,92
2015-08-31,2015,8,2356,354.48,3.12,393,112,347,1502,60.65,19.63,52.65,221.55,Rajasthan,150,22.57,21,109
2015-08-31,2015,8,2356,354.48,3.12,393,112,347,1502,60.65,19.63,52.65,221.55,West Bengal,259,38.97,18,156
2015-08-31,2015,8,2356,354.48,3.12,393,112,347,1502,60.65,19.63,52.65,221.55,Punjab,7,1.05,7,87
2015-08-31,2015,8,2356,354.48,3.12,393,112,347,1502,60.65,19.63,52.65,221.55,Kerala,923,138.87,5,99
2015-08-31,2015,8,2356,354.48,3.12,393,112,347,1502,60.65,19.63,52.65,221.55,Uttar Pradesh,112,16.85,24,118
2015-09-30,2015,9,2370,388.33000000000004,2.68,1374,274,133,587,242.93,45.16,21.08,79.16,Maharashtra,344,56.37,11,125
2015-09-30,2015,9,2370,388.33000000000004,2.68,1374,274,133,587,242.93,45.16,21.08,79.16,Delhi,221,36.21,8,123
2015-09-30,2015,9,2370,388.33000000000004,2.68,1374,274,133,587,242.93,45.16,21.08,79.16,Karnataka,196,32.12,17,129
2015-09-30,2015,9,2370,388.33000000000004,2.68,1374,274,133,587,242.93,45.16,21.08,79.16,Tamil Nadu,199,32.61,24,158
2015-09-30,2015,9,2370,388.33000000000004,2.68,1374,274,133,587,242.93,45.16,21.08,79.16,Gujarat,73,11.96,5,97
2015-09-30,2015,9,2370,388.33000000000004,2.68,1374,274,133,587,242.93,45.16,21.08,79.16,Rajasthan,57,9.34,12,121
2015-09-30,2015,9,2370,388.33000000000004,2.68,1374,274,133,587,242.93,45.16,21.08,79.16,West Bengal,272,44.57,18,174
2015-09-30,2015,9,2370,388.33000000000004,2.68,1374,274,133,587,242.93,45.16,21.08,79.16,Punjab,272,44.57,20,107
2015-09-30,2015,9,2370,388.33000000000004,2.68,1374,274,133,587,242.93,45.16,21.08,79.16,Kerala,331,54.24,18,117
2015-09-30,2015,9,2370,388.33000000000004,2.68,1374,274,133,587,242.93,45.16,21.08,79.16,Uttar Pradesh,401,65.7,16,134
2015-10-31,2015,10,2520,411.63,2.16,737,492,950,339,101.52,88.11,163.35,58.65,Maharashtra,74,12.09,24,149
2015-10-31,2015,10,2520,411.63,2.16,737,492,950,339,101.52,88.11,163.35,58.65,Delhi,10,1.63,19,142
2015-10-31,2015,10,2520,411.63,2.16,737,492,950,339,101.52,88.11,163.35,58.65,Karnataka,93,15.19,7,136
2015-10-31,2015,10,2520,411.63,2.16,737,492,950,339,101.52,88.11,163.35,58.65,Tamil Nadu,199,32.51,12,170
2015-10-31,2015,10,2520,411.63,2.16,737,492,950,339,101.52,88.11,163.35,58.65,Gujarat,102,16.66,24,121
2015-10-31,2015,10,2520,411.63,2.16,737,492,950,339,101.52,88.11,163.35,58.65,Rajasthan,454,74.16,20,141
2015-10-31,2015,10,2520,411.63,2.16,737,492,950,339,101.52,88.11,163.35,58.65,West Bengal,81,13.23,17,191
2015-10-31,2015,10,2520,411.63,2.16,737,492,950,339,101.52,88.11,163.35,58.65,Punjab,868,141.78,22,129
2015-10-31,2015,10,2520,411.63,2.16,737,492,950,339,101.52,88.11,163.35,58.65,Kerala,158,25.81,14,131
2015-10-31,2015,10,2520,411.63,2.16,737,492,950,339,101.52,88.11,163.35,58.65,Uttar Pradesh,477,77.92,23,157
2015-11-30,2015,11,2546,366.58,2.57,370,52,16,2106,63.57,8.57,2.41,292.03,Maharashtra,193,27.79,20,169
2015-11-30,2015,11,2546,366.58,2.57,370,52,16,2106,63.57,8.57,2.41,292.03,Delhi,304,43.77,23,165
2015-11-30,2015,11,2546,366.58,2.57,370,52,16,2106,63.57,8.57,2.41,292.03,Karnataka,262,37.72,9,145
2015-11-30,2015,11,2546,366.58,2.57,370,52,16,2106,63.57,8.57,2.41,292.03,Tamil Nadu,79,11.37,18,188
2015-11-30,2015,11,2546,366.58,2.57,370,52,16,2106,63.57,8.57,2.41,292.03,Gujarat,752,108.28,9,130
2015-11-30,2015,11,2546,366.58,2.57,370,52,16,2106,63.57,8.57,2.41,292.03,Rajasthan,325,46.79,19,160
2015-11-30,2015,11,2546,366.58,2.57,370,52,16,2106,63.57,8.57,2.41,292.03,West Bengal,196,28.22,21,212
2015-11-30,2015,11,2546,366.58,2.57,370,52,16,2106,63.57,8.57,2.41,292.03,Punjab,229,32.97,18,147
2015-11-30,2015,11,2546,366.58,2.57,370,52,16,2106,63.57,8.57,2.41,292.03,Kerala,132,19.01,24,155
2015-11-30,2015,11,2546,366.58,2.57,370,52,16,2106,63.57,8.57,2.41,292.03,Uttar Pradesh,69,9.93,9,166
2015-12-31,2015,12,2546,380.55,2.56,829,786,233,697,124.29,126.38,37.69,92.19,Maharashtra,162,24.21,24,193
2015-12-31,2015,12,2546,380.55,2.56,829,786,233,697,124.29,126.38,37.69,92.19,Delhi,340,50.82,16,181
2015-12-31,2015,12,2546,380.55,2.56,829,786,233,697,124.29,126.38,37.69,92.19,Karnataka,242,36.17,22,167
2015-12-31,2015,12,2546,380.55,2.56,829,786,233,697,124.29,126.38,37.69,92.19,Tamil Nadu,671,100.29,7,195
2015-12-31,2015,12,2546,380.55,2.56,829,786,233,697,124.29,126.38,37.69,92.19,Gujarat,372,55.6,5,135
2015-12-31,2015,12,2546,380.55,2.56,829,786,233,697,124.29,126.38,37.69,92.19,Rajasthan,61,9.12,5,165
2015-12-31,2015,12,2546,380.55,2.56,829,786,233,697,124.29,126.38,37.69,92.19,West Bengal,25,3.74,23,235
2015-12-31,2015,12,2546,380.55,2.56,829,786,233,697,124.29,126.38,37.69,92.19,Punjab,355,53.06,15,162
2015-12-31,2015,12,2546,380.55,2.56,829,786,233,697,124.29,126.38,37.69,92.19,Kerala,9,1.35,9,164
2015-12-31,2015,12,2546,380.55,2.56,829,786,233,697,124.29,126.38,37.69,92.19,Uttar Pradesh,305,45.59,16,182
2016-01-31,2016,1,2583,341.14000000000004,3.41,2211,204,67,99,289.44,27.48,11.0,13.22,Maharashtra,6,0.79,14,207
2016-01-31,2016,1,2583,341.14000000000004,3.41,2211,204,67,99,289.44,27.48,11.0,13.22,Delhi,446,58.9,9,190
2016-01-31,2016,1,2583,341.14000000000004,3.41,2211,204,67,99,289.44,27.48,11.0,13.22,Karnataka,87,11.49,13,180
2016-01-31,2016,1,2583,341.14000000000004,3.41,2211,204,67,99,289.44,27.48,11.0,13.22,Tamil Nadu,33,4.36,7,202
2016-01-31,2016,1,2583,341.14000000000004,3.41,2211,204,67,99,289.44,27.48,11.0,13.22,Gujarat,316,41.73,21,156
2016-01-31,2016,1,2583,341.14000000000004,3.41,2211,204,67,99,289.44,27.48,11.0,13.22,Rajasthan,263,34.73,7,172
2016-01-31,2016,1,2583,341.14000000000004,3.41,2211,204,67,99,289.44,27.48,11.0,13.22,West Bengal,557,73.56,20,255
2016-01-31,2016,1,2583,341.14000000000004,3.41,2211,204,67,99,289.44,27.48,11.0,13.22,Punjab,352,46.49,8,170
2016-01-31,2016,1,2583,341.14000000000004,3.41,2211,204,67,99,289.44,27.48,11.0,13.22,Kerala,431,56.92,22,186
2016-01-31,2016,1,2583,341.14000000000004,3.41,2211,204,67,99,289.44,27.48,11.0,13.22,Uttar Pradesh,87,11.49,21,203
2016-02-29,2016,2,2694,420.05000000000007,2.82,1094,800,229,569,183.49,108.12,40.1,88.34,Maharashtra,343,53.48,23,230
2016-02-29,2016,2,2694,420.05000000000007,2.82,1094,800,229,569,183.49,108.12,40.1,88.34,Delhi,75,11.69,19,209
2016-02-29,2016,2,2694,420.05000000000007,2.82,1094,800,229,569,183.49,108.12,40.1,88.34,Karnataka,442,68.92,20,200
2016-02-29,2016,2,2694,420.05000000000007,2.82,1094,800,229,569,183.49,108.12,40.1,88.34,Tamil Nadu,96,14.97,9,211
2016-02-29,2016,2,2694,420.05000000000007,2.82,1094,800,229,569,183.49,108.12,40.1,88.34,Gujarat,2,0.31,7,163
2016-02-29,2016,2,2694,420.05000000000007,2.82,1094,800,229,569,183.49,108.12,40.1,88.34,Rajasthan,462,72.04,16,188
2016-02-29,2016,2,2694,420.05000000000007,2.82,1094,800,229,569,183.49,108.12,40.1,88.34,West Bengal,18,2.81,24,279
2016-02-29,2016,2,2694,420.05000000000007,2.82,1094,800,229,569,183.49,108.12,40.1,88.34,Punjab,75,11.69,8,178
2016-02-29,2016,2,2694,420.05000000000007,2.82,1094,800,229,569,183.49,108.12,40.1,88.34,Kerala,587,91.53,20,206
2016-02-29,2016,2,2694,420.05000000000007,2.82,1094,800,229,569,183.49,108.12,40.1,88.34,Uttar Pradesh,589,91.84,11,214
2016-03-31,2016,3,2617,407.14000000000004,2.72,42,575,420,1578,6.2,78.12,57.6,265.22,Maharashtra,23,3.58,24,254
2016-03-31,2016,3,2617,407.14000000000004,2.72,42,575,420,1578,6.2,78.12,57.6,265.22,Delhi,324,50.41,21,230
2016-03-31,2016,3,2617,407.14000000000004,2.72,42,575,420,1578,6.2,78.12,57.6,265.22,Karnataka,20,3.11,11,211
2016-03-31,2016,3,2617,407.14000000000004,2.72,42,575,420,1578,6.2,78.12,57.6,265.22,Tamil Nadu,463,72.03,17,228
2016-03-31,2016,3,2617,407.14000000000004,2.72,42,575,420,1578,6.2,78.12,57.6,265.22,Gujarat,329,51.18,8,171
2016-03-31,2016,3,2617,407.14000000000004,2.72,42,575,420,1578,6.2,78.12,57.6,265.22,Rajasthan,22,3.42,8,196
2016-03-31,2016,3,2617,407.14000000000004,2.72,42,575,420,1578,6.2,78.12,57.6,265.22,West Bengal,23,3.58,10,289
2016-03-31,2016,3,2617,407.14000000000004,2.72,42,575,420,1578,6.2,78.12,57.6,265.22,Punjab,1159,180.31,23,201
2016-03-31,2016,3,2617,407.14000000000004,2.72,42,575,420,1578,6.2,78.12,57.6,265.22,Kerala,125,19.45,16,222
2016-03-31,2016,3,2617,407.14000000000004,2.72,42,575,420,1578,6.2,78.12,57.6,265.22,Uttar Pradesh,124,19.29,11,225
2016-04-30,2016,4,2739,403.24,3.33,224,1290,21,1202,29.75,175.36,2.85,195.28,Maharashtra,243,35.77,19,273
2016-04-30,2016,4,2739,403.24,3.33,224,1290,21,1202,29.75,175.36,2.85,195.28,Delhi,155,22.82,20,250
2016-04-30,2016,4,2739,403.24,3.33,224,1290,21,1202,29.75,175.36,2.85,195.28,Karnataka,581,85.54,15,226
2016-04-30,2016,4,2739,403.24,3.33,224,1290,21,1202,29.75,175.36,2.85,195.28,Tamil Nadu,83,12.22,9,237
2016-04-30,2016,4,2739,403.24,3.33,224,1290,21,1202,29.75,175.36,2.85,195.28,Gujarat,59,8.69,8,179
2016-04-30,2016,4,2739,403.24,3.33,224,1290,21,1202,29.75,175.36,2.85,195.28,Rajasthan,360,53.0,7,203
2016-04-30,2016,4,2739,403.24,3.33,224,1290,21,1202,29.75,175.36,2.85,195.28,West Bengal,44,6.48,23,312
2016-04-30,2016,4,2739,403.24,3.33,224,1290,21,1202,29.75,175.36,2.85,195.28,Punjab,586,86.27,24,225
2016-04-30,2016,4,2739,403.24,3.33,224,1290,21,1202,29.75,175.36,2.85,195.28,Kerala,2,0.29,22,244
2016-04-30,2016,4,2739,403.24,3.33,224,1290,21,1202,29.75,175.36,2.85,195.28,Uttar Pradesh,621,91.42,19,244
2016-05-31,2016,5,2820,460.55,4.39,357,581,517,1363,47.22,83.69,91.78,237.86,Maharashtra,73,11.92,5,278
2016-05-31,2016,5,2820,460.55,4.39,357,581,517,1363,47.22,83.69,91.78,237.86,Delhi,47,7.68,24,274
2016-05-31,2016,5,2820,460.55,4.39,357,581,517,1363,47.22,83.69,91.78,237.86,Karnataka,140,22.86,17,243
2016-05-31,2016,5,2820,460.55,4.39,357,581,517,1363,47.22,83.69,91.78,237.86,Tamil Nadu,98,16.0,20,257
2016-05-31,2016,5,2820,460.55,4.39,357,581,517,1363,47.22,83.69,91.78,237.86,Gujarat,198,32.34,17,196
2016-05-31,2016,5,2820,460.55,4.39,357,581,517,1363,47.22,83.69,91.78,237.86,Rajasthan,18,2.94,18,221
2016-05-31,2016,5,2820,460.55,4.39,357,581,517,1363,47.22,83.69,91.78,237.86,West Bengal,829,135.39,7,319
2016-05-31,2016,5,2820,460.55,4.39,357,581,517,1363,47.22,83.69,91.78,237.86,Punjab,969,158.25,10,235
2016-05-31,2016,5,2820,460.55,4.39,357,581,517,1363,47.22,83.69,91.78,237.86,Kerala,271,44.26,22,266
2016-05-31,2016,5,2820,460.55,4.39,357,581,517,1363,47.22,83.69,91.78,237.86,Uttar Pradesh,173,28.25,23,267
2016-06-30,2016,6,2886,448.72,2.97,295,1470,1095,25,38.74,218.77,186.73,4.48,Maharashtra,45,7.0,10,288
2016-06-30,2016,6,2886,448.72,2.97,295,1470,1095,25,38.74,218.77,186.73,4.48,Delhi,253,39.34,21,295
2016-06-30,2016,6,2886,448.72,2.97,295,1470,1095,25,38.74,218.77,186.73,4.48,Karnataka,134,20.83,9,252
2016-06-30,2016,6,2886,448.72,2.97,295,1470,1095,25,38.74,218.77,186.73,4.48,Tamil Nadu,985,153.15,9,266
2016-06-30,2016,6,2886,448.72,2.97,295,1470,1095,25,38.74,218.77,186.73,4.48,Gujarat,519,80.69,10,206
2016-06-30,2016,6,2886,448.72,2.97,295,1470,1095,25,38.74,218.77,186.73,4.48,Rajasthan,512,79.61,7,228
2016-06-30,2016,6,2886,448.72,2.97,295,1470,1095,25,38.74,218.77,186.73,4.48,West Bengal,177,27.52,9,328
2016-06-30,2016,6,2886,448.72,2.97,295,1470,1095,25,38.74,218.77,186.73,4.48,Punjab,150,23.32,9,244
2016-06-30,2016,6,2886,448.72,2.97,295,1470,1095,25,38.74,218.77,186.73,4.48,Kerala,89,13.84,14,280
2016-06-30,2016,6,2886,448.72,2.97,295,1470,1095,25,38.74,218.77,186.73,4.48,Uttar Pradesh,16,2.49,14,281
2016-07-31,2016,7,2881,440.99,3.45,616,777,862,623,107.13,130.42,114.08,89.36,Maharashtra,159,24.34,9,297
2016-07-31,2016,7,2881,440.99,3.45,616,777,862,623,107.13,130.42,114.08,89.36,Delhi,438,67.04,18,313
2016-07-31,2016,7,2881,440.99,3.45,616,777,862,623,107.13,130.42,114.08,89.36,Karnataka,90,13.78,6,258
2016-07-31,2016,7,2881,440.99,3.45,616,777,862,623,107.13,130.42,114.08,89.36,Tamil Nadu,417,63.83,15,281
2016-07-31,2016,7,2881,440.99,3.45,616,777,862,623,107.13,130.42,114.08,89.36,Gujarat,848,129.8,23,229
2016-07-31,2016,7,2881,440.99,3.45,616,777,862,623,107.13,130.42,114.08,89.36,Rajasthan,22,3.37,11,239
2016-07-31,2016,7,2881,440.99,3.45,616,777,862,623,107.13,130.42,114.08,89.36,West Bengal,386,59.08,10,338
2016-07-31,2016,7,2881,440.99,3.45,616,777,862,623,107.13,130.42,114.08,89.36,Punjab,219,33.52,6,250
2016-07-31,2016,7,2881,440.99,3.45,616,777,862,623,107.13,130.42,114.08,89.36,Kerala,161,24.64,10,290
2016-07-31,2016,7,2881,440.99,3.45,616,777,862,623,107.13,130.42,114.08,89.36,Uttar Pradesh,134,20.51,22,303
2016-08-31,2016,8,2964,467.46000000000004,3.32,418,1707,311,525,70.72,255.75,50.1,90.89,Maharashtra,663,104.56,20,317
2016-08-31,2016,8,2964,467.46000000000004,3.32,418,1707,311,525,70.72,255.75,50.1,90.89,Delhi,35,5.52,15,328
2016-08-31,2016,8,2964,467.46000000000004,3.32,418,1707,311,525,70.72,255.75,50.1,90.89,Karnataka,580,91.47,23,281
2016-08-31,2016,8,2964,467.46000000000004,3.32,418,1707,311,525,70.72,255.75,50.1,90.89,Tamil Nadu,150,23.66,19,300
2016-08-31,2016,8,2964,467.46000000000004,3.32,418,1707,311,525,70.72,255.75,50.1,90.89,Gujarat,66,10.41,20,249
2016-08-31,2016,8,2964,467.46000000000004,3.32,418,1707,311,525,70.72,255.75,50.1,90.89,Rajasthan,136,21.45,15,254
2016-08-31,2016,8,2964,467.46000000000004,3.32,418,1707,311,525,70.72,255.75,50.1,90.89,West Bengal,869,137.05,20,358
2016-08-31,2016,8,2964,467.46000000000004,3.32,418,1707,311,525,70.72,255.75,50.1,90.89,Punjab,150,23.66,12,262
2016-08-31,2016,8,2964,467.46000000000004,3.32,418,1707,311,525,70.72,255.75,50.1,90.89,Kerala,88,13.88,8,298
2016-08-31,2016,8,2964,467.46000000000004,3.32,418,1707,311,525,70.72,255.75,50.1,90.89,Uttar Pradesh,222,35.01,12,315
2016-09-30,2016,9,3032,448.15999999999997,3.64,857,299,1494,380,121.0,51.16,220.0,56.0,Maharashtra,330,48.78,15,332
2016-09-30,2016,9,3032,448.15999999999997,3.64,857,299,1494,380,121.0,51.16,220.0,56.0,Delhi,190,28.08,20,348
2016-09-30,2016,9,3032,448.15999999999997,3.64,857,299,1494,380,121.0,51.16,220.0,56.0,Karnataka,971,143.52,21,302
2016-09-30,2016,9,3032,448.15999999999997,3.64,857,299,1494,380,121.0,51.16,220.0,56.0,Tamil Nadu,59,8.72,8,308
2016-09-30,2016,9,3032,448.15999999999997,3.64,857,299,1494,380,121.0,51.16,220.0,56.0,Gujarat,173,25.57,5,254
2016-09-30,2016,9,3032,448.15999999999997,3.64,857,299,1494,380,121.0,51.16,220.0,56.0,Rajasthan,167,24.68,12,266
2016-09-30,2016,9,3032,448.15999999999997,3.64,857,299,1494,380,121.0,51.16,220.0,56.0,West Bengal,41,6.06,21,379
